,armed,total
33,lawn mower blade,1
59,stapler,1
60,straight edge razor,1
37,metal hand tool,1
29,hand torch,1
41,metal rake,1
43,motorcycle,1
44,nail gun,1
24,glass shard,1
23,garden tool,1
22,flashlight,1
21,flagpole,1
20,fireworks,1
19,crowbar,1
45,oar,1
58,spear,1
17,cordless drill,1
46,pen,1
1,air conditioner,1
62,tire iron,1
52,pole and knife,1
4,baseball bat and bottle,1
5,baseball bat and fireplace poker,1
16,contractor's level,1
7,bayonet,1
51,pole,1
50,pitchfork,1
47,pick-axe,1
13,carjack,1
14,chain,1
8,bean-bag gun,1
35,machete and gun,1
49,pipe,2
40,metal pole,2
48,piece of wood,2
38,metal object,2
57,shovel,2
31,hatchet and gun,2
6,baton,2
9,beer bottle,2
36,meat cleaver,2
15,chain saw,2
12,brick,2
56,sharp object,2
27,guns and explosives,3
53,rock,3
54,scissors,3
42,metal stick,3
26,gun and knife,5
10,blunt object,5
55,screwdriver,5
18,crossbow,6
30,hatchet,6
11,box cutter,7
39,metal pipe,7
28,hammer,7
61,sword,8
3,baseball bat,8
0,Taser,9
2,ax,9
66,unknown weapon,18
34,machete,18
63,toy weapon,104
65,undetermined,117
64,unarmed,171
67,vehicle,177
32,knife,373
25,gun,1398
