,age
0,53.0
1,47.0
2,23.0
3,32.0
4,39.0
5,18.0
6,22.0
7,35.0
8,34.0
9,47.0
10,25.0
11,31.0
12,41.0
13,30.0
14,37.0
15,28.0
16,42.0
17,36.0
18,49.0
19,71.0
20,33.0
21,39.0
22,23.0
23,29.0
24,34.0
25,43.0
26,24.0
27,29.0
28,34.0
29,75.0
30,68.0
31,34.0
32,27.0
33,39.0
34,24.0
35,36.0
36,33.0
37,41.0
38,48.0
39,21.0
40,24.0
41,27.0
42,32.0
43,67.0
44,49.0
45,42.0
46,36.0
47,36.0
48,19.0
49,54.0
50,25.0
51,17.0
52,61.0
53,29.0
54,56.0
55,40.0
56,45.0
57,26.0
58,26.0
59,59.0
60,17.0
61,68.0
62,24.0
63,34.0
64,26.0
65,29.0
66,33.0
67,39.0
68,45.0
69,35.0
70,26.0
71,42.0
72,31.0
73,48.0
74,31.0
75,54.0
76,17.0
77,59.0
78,42.0
79,23.0
80,38.0
81,29.0
82,45.0
83,28.0
84,37.0
85,28.0
86,28.0
87,51.0
88,36.0
89,59.0
90,25.0
91,26.0
92,74.0
93,33.0
94,27.0
95,57.0
96,46.0
97,41.0
98,61.0
99,45.0
100,35.0
101,49.0
102,45.0
103,23.0
104,46.0
105,23.0
106,21.0
107,35.0
108,27.0
109,37.0
110,16.0
111,51.0
112,25.0
113,34.0
114,34.0
115,56.0
116,26.0
117,24.0
118,43.0
119,31.0
120,32.0
121,30.0
122,50.0
123,20.0
125,31.0
126,38.0
127,77.0
128,41.0
129,51.0
130,50.0
131,42.0
132,39.0
133,47.0
134,37.0
135,41.0
136,16.0
137,30.0
138,27.0
139,43.0
140,31.0
141,42.0
142,21.0
143,49.0
144,34.0
145,27.0
146,24.0
147,17.0
148,34.0
149,28.0
150,28.0
151,40.0
152,37.0
153,49.0
154,43.0
155,35.0
156,20.0
157,25.0
158,25.0
159,26.0
160,28.0
161,45.0
162,36.0
163,34.0
164,37.0
165,48.0
166,19.0
167,29.0
168,40.0
169,35.0
170,43.0
171,58.0
172,46.0
173,30.0
174,27.0
175,31.0
176,23.0
177,37.0
178,64.0
179,31.0
180,39.0
181,31.0
182,25.0
183,54.0
184,53.0
185,37.0
186,35.0
187,59.0
188,36.0
189,32.0
190,41.0
191,29.0
192,53.0
193,26.0
194,27.0
195,28.0
196,52.0
197,20.0
198,22.0
199,49.0
200,24.0
201,24.0
202,47.0
203,49.0
204,64.0
205,16.0
206,20.0
207,36.0
208,39.0
209,18.0
210,31.0
211,24.0
212,63.0
213,34.0
214,44.0
215,60.0
216,42.0
217,21.0
218,37.0
219,36.0
220,21.0
221,24.0
222,38.0
223,29.0
224,57.0
225,23.0
226,27.0
227,28.0
228,63.0
